Declaracion,NombreDeclarante,ApellidoPaternoDeclarante,ApellidoMaternoDeclarante,CantidadQueRepresenta,EntidadQueEmite,FechaAdquisicion,PaisQueEmite,TipoValor,TipoGravamen,ValorPlaza
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,ARÉVALO,ADASME,"1003,31",BANCO DE CHILE,24/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,26339895
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,AREVALO,ADASME,"1003,31",BANCO DE CHILE,24/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,26339895
http://datos.cplt.cl/datos/infoprobidad/declaracion_84b20b1f5a0d103f5710bb67a043cd78,FRANCISCO JAVIER,ALSINA,URZÃšA,14520269,BANCO DE CHILE,30/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,14520269
http://datos.cplt.cl/datos/infoprobidad/declaracion_84b20b1f5a0d103f5710bb67a043cd78,FRANCISCO JAVIER,ALSINA,URZÃšA,18930604,BANCO DE CHILE,16/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,18930604
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,ARÉVALO,ADASME,"171,75",BANCO DE CHILE,07/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,4508883
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,AREVALO,ADASME,"171,75",BANCO DE CHILE,07/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,4508883
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,ARÉVALO,ADASME,"171,75",BANCO DE CHILE,07/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,4508883
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,AREVALO,ADASME,"171,75",BANCO DE CHILE,07/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,4508883
http://datos.cplt.cl/datos/infoprobidad/declaracion_84b20b1f5a0d103f5710bb67a043cd78,FRANCISCO JAVIER,ALSINA,URZÃšA,14757321,BANCO DE CHILE,28/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,14757321
http://datos.cplt.cl/datos/infoprobidad/declaracion_84b20b1f5a0d103f5710bb67a043cd78,FRANCISCO JAVIER,ALSINA,URZÃšA,20200412,BANCO DE CHILE,27/09/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,20200413
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,ARÉVALO,ADASME,"383,98",BANCO DE CHILE,25/08/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,10080541
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ÁLVARO EUGENIO,AREVALO,ADASME,"383,98",BANCO DE CHILE,25/08/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,10080541
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,ARÉVALO,ADASME,"383,98",BANCO DE CHILE,25/08/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,10080541
http://datos.cplt.cl/datos/infoprobidad/declaracion_4ebd440d99504722d80de606ea8507da,ALVARO,AREVALO,ADASME,"383,98",BANCO DE CHILE,25/08/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,10080541
http://datos.cplt.cl/datos/infoprobidad/declaracion_84b20b1f5a0d103f5710bb67a043cd78,FRANCISCO JAVIER,ALSINA,URZÃšA,16669446,BANCO DE CHILE,19/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,16669446
http://datos.cplt.cl/datos/infoprobidad/declaracion_92a0e7a415d64ebafcb16a8ca817cde4,FERNANDO ROBERTO,ORTIZ,ALVARADO,20000000,SURA,01/10/2015,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,20000000
http://datos.cplt.cl/datos/infoprobidad/declaracion_84b20b1f5a0d103f5710bb67a043cd78,FRANCISCO JAVIER,ALSINA,URZÃšA,12269151,BANCO DE CHILE,17/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,12269151
