name,url
Director-General Walter Radermacher,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b85b3c8d-483b-4e3d-b066-160c467e2884
Director-General Martine Reicherts,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=9bd9f7c0-836e-4ff6-abf4-a1f8650861cb
Director-General Ann Mettler,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0d0d638f-322e-44fc-8c9c-875438c4a719
acting Director of the Office Giuseppe SCOGNAMIGLIO,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=c9dd58ff-4f2e-4e64-83c0-0ef45573239d
Director-General Irene Souka,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5f6cf615-e3f3-495a-846a-9ccc191e86fc
Director of the Office David Bearfield,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=34cd9679-7e50-4f41-910a-7b9caf0beba4
Director of the Service Tung-Laï Margue,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=3bb86a7d-035a-4a39-8226-c46622754eb2
Secretary-General Alexander Italianer,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=394df231-6f63-43a1-ac2f-a5c6c2aea0b7
Director-General Eva Be?ová,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5c328854-7554-4e37-8142-02605dd76334&startDate=01-09-2015
Director-General Florika FINK-HOOIJER,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=df6d8307-5772-45fb-a234-be95f3186c1f
Director-General Jonathan Faull,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=4e595d6e-b89a-465b-9b63-b293c8fd8e30
Director-General Anne BUCHER ,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=242a8924-48a5-4983-b75f-fab577a950b7
Director-General Maarten Verwey,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=10539654-6864-48fd-b947-dabedf1a218a
acting Director-General Ladislav Miko,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=357c8eea-da5c-49bc-9d63-a5c1b76c770e&startDate=01-11-2014
Director-General Xavier Prats Monné,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=357c8eea-da5c-49bc-9d63-a5c1b76c770e
Director-General Claus Sorensen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=51cc23ae-3362-48ae-acee-c9843ae54827&startDate=01-11-2014
Director-General Martine Reicherts,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5c328854-7554-4e37-8142-02605dd76334&startDate=01-11-2014
acting Director-General Eva Be?ová,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5c328854-7554-4e37-8142-02605dd76334&startDate=01-09-2015
Director-General Robert Madelin,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=aae7124c-b839-4139-9ffe-ad5660fe9404&startDate=01-11-2014
Director-General Alexander Italianer ,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ffdb1b81-84a9-4ce1-8974-164aa26ce7e8&startDate=01-11-2014
Director-General Karl-Friedrich Falkenberg,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ca175ad3-c2c5-457e-8f6d-f17956bdcc4e&startDate=01-11-2014
Director-General Jonathan Faull,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=1451b45a-b39b-48ee-a50a-00a440ef2f09&startDate=01-11-2014
Director-General Daniel Calleja Crespo,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=66b9a93e-bac3-4820-8f21-9576b54e3428&startDate=01-11-2014
 Director-General Fernando Frutuoso de Melo ,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=19bd5d17-a3ef-4a2b-899c-28126a38b0c2&startDate=01-11-2014
Director-General Lowri Evans,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0bdcfdaf-b25f-4fa4-9843-6d8aff622df9&startDate=01-11-2014
Director-General Walter Deffaa,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=836198d9-3839-4b03-861c-7d7b2dc923bf&startDate=01-11-2014
Director-General Heinz Zourek,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=8d411331-1f9c-49ad-bf3f-54c9723c5496&startDate=01-11-2014
Director-General Stephen Quest,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=06fb3b80-76a8-43f1-b1a5-e703cfe8d625&startDate=01-11-2014
acting Director-General Paraskevi Michou,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b7f75e74-dd34-4911-8942-3b84e241424d&startDate=01-11-2014
acting Director-General Francisco FONSECA MORILLO,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b7f75e74-dd34-4911-8942-3b84e241424d&startDate=01-11-2015
Director-General Joao Aguiar Machado,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ed82401c-d412-44bd-bdbc-3d0c5d051337&startDate=01-11-2014
Director-General Xavier Prats Monné,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=9bd9f7c0-836e-4ff6-abf4-a1f8650861cb&startDate=01-11-2014
Director of the Office Marc Lemaître,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=c9dd58ff-4f2e-4e64-83c0-0ef45573239d&startDate=01-11-2014
 Secretary-General Catherine Day,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=394df231-6f63-43a1-ac2f-a5c6c2aea0b7&startDate=01-11-2014
Director-General Marianne Klingbeil,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=242a8924-48a5-4983-b75f-fab577a950b7&startDate=01-11-2014
Director-General Gregory Paulger,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=2aac00d9-fbaf-425f-af65-c697a37d51bb&startDate=01-11-2014
