id,contact_country,sub_category,sub_category_title,acronym,name,main_category,cost_min,cost_max,cost_absolute,fte,acc_count,code,status,country,accredited
97b1d05e440849908e39fd322461e8eb,BE,25,Trade and business organisations,AIM,AIM European Brands Association,2,300000,399999,,1.5,4,1074382679-01,active,21,
14e5a050e08f4122ac5529c41bda3fa9,BE,25,Trade and business organisations,EUROPEN,The European Organization for Packaging and the Environment,2,50000,99999,,1.5,3,0001976677-12,active,21,
01dba7c1998040c7947212ef76a463c9,BE,31,"Non-governmental organisations, platforms and networks and similar",EAEA,European Association for the Education of Adults,3,,,140000,3.5,2,3334854676-12,active,21,
700a38866d1843ae8e3e3ebccc491bd1,DE,25,Trade and business organisations,VDMA,Verband Deutscher Maschinen- und Anlagenbau e.V.,2,4250000,4499999,,22.5,4,9765362691-45,active,82,
19514fbd5be4401bae85923342e65149,DK,25,Trade and business organisations,DEA,Danish Energy Association / Dansk Energi,2,100000,199999,,3.75,6,1733114388-50,active,59,
4c44da876953436087131e769bd5f51a,DE,31,"Non-governmental organisations, platforms and networks and similar",BAGFW,Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege e.V.,3,100000,199999,,1.75,2,9737622425-76,active,82,
cc907c0fef2f47a3a1f3cc2bbe6323d0,DE,25,Trade and business organisations,vfa,Verband Forschender Arzneimittelhersteller e.V.,2,,,250000,0.5,1,9796640403-95,active,82,
ddd872f8497646d4b3b38004c1e7e380,DE,31,"Non-governmental organisations, platforms and networks and similar",PROVIEH,PROVIEH e. V.,3,,9999,,0.25,0,6109527373-03,active,82,
fd9dead7a15248cd91432f492fa7f025,BE,25,Trade and business organisations,CETS,CETS - European Committee for Surface Treatment aisbl,2,,,25000,0.25,0,5774391386-55,active,21,
6c4fc0b2ca694140a7edc43f31bc40b9,ES,25,Trade and business organisations,Asedie,Asociación Multisectorial de la Información,2,25000,49999,,4.25,0,6439238521-03,active,209,
