id,contact_country,sub_category,acronym,name,main_category,cost_min,cost_max,cost_absolute
f98e6e3980944c0f9171355ef137d799,234,21,Lilly,Eli Lilly and Company,2,700000,799999,
f98ddda0fbef40e1b5fccdf9b49ab5ee,82,11,Symbios,Symbios Funding & Consulting GmbH,1,,,3000
f98400f0e7424427b3d1885e3322f323,180,21,AAOPFR,Romanian Association of Inland Ship Owners and Port Operators,2,,9999,
f9773dd70a334132aaafbabc0ff5ab21,21,21,SWIFT,Society for Worldwide Interbank Financial Telecommunication,2,800000,899999,
f975feddd0af483c860a8f0abbba0885,209,11,BANKINTER,"BANKINTER, S.A.",1,,,0
f974912799d64a97b57dc966d0ece215,21,,,Teollisuuden Voima Oyj,,,,
f95b1f1e29eb40b5b403c95f0f6153ba,155,22,,Pictoright,2,,9999,
f94a27e1c17841bca3ce7da5bcada0d3,233,24,The Enterprise Forum,The Enterprise Forum Ltd,2,,9999,
f946d90c10874e39a33998c3d7ff705a,82,21,IBB Netzwerk GmbH,Industrielle Biotechnologie Bayern Netzwerk GmbH,2,,,15000
f935fc0635f1409a9122e41f3841c397,177,22,APETRO,Associação Portuguesa de Empresas Petrolíferas,2,,9999,
f931a3a5de5a4728bca6ba68a0a4a849,201,24,SOZA,Slovenský ochranný zväz autorský pre práva k hudobným dielam,2,10000,24999,
f929bc096dac4549b3964fa1dea986e4,82,31,ANME,Association for Natural Medicine in Europe,3,10000,24999,
f916b206f5b0473eaa241155515d515f,209,21,ANN,AERNNOVA,2,2250000,2499999,
f910d77c9d8844228ae92af035a4cb0f,21,31,EMN,European Meat Network,3,25000,49999,
f909a88c4bec424e9730aeee017ba40b,215,21,SPI,Swissport International Ltd.,2,25000,49999,
f903e9a9377d4d6d9f83697757ee3d60,74,22,Elvis ry,Säveltäjät ja Sanoittajat Elvis ry,2,25000,49999,
f8e0665235dd458294ec460e924b0c01,209,31,RSF,Reforestación Sin Fronteras,3,,9999,
f8dd195260724cbe89e4f77d8c6c9458,209,62,CITIPA,Colegio Oficial de Ingenieros Técnicos en Informática del Principado de Asturias,6,,,1000
f8d6efbcc1c44a22a6ac0fc2a8cc6d0b,155,13,4sn,De Vier Essen BV,1,,9999,
f8d6efb2813b48718b3c8a296cdc3496,21,22,FESI,Federation of the European Sporting Goods Industry,2,,,10000
f8cc190bc6d447ea96ac800f93825d6d,209,21,Cobra,"COBRA INSTALACIONES Y SERVICIOS,S.A.",2,,9999,
f8c3fb3cacca4be1a3768350c4cf6c02,21,31,IPHR,International Partnership for Human Rights,3,,9999,
f8aee296a2b84d41a01307d17b15aa18,209,22,FECE,FEDERACIÓN ESPAÑOLA DE COMERCIANTES DE ELECTRODOMÉSTICOS,2,,9999,
f89e8642913540c89ea27fffe86af04e,108,31,IG,Associazione InformaGiovani,3,,9999,
f895eb556daa4bfc8ff07e5badd651a8,101,31,MVS,Manav Vikas Sanstha,3,,9999,
f889c3515355400f89cd6c6f19cc3ded,234,31,SAFF,Saint Andrew's Freedom Forum,3,,,
f888470775044bab83ca597e3ed1e24f,82,22,DGRV,DGRV - Deutscher Genossenschafts- und Raiffeisenverband e.V.,2,,9999,
f880886e901d47fc888c6415feb786ab,155,31,Spanda,Stichting Spanda [Spanda Foundation],3,,9999,
f87edf516efa4e058379b05187f65aea,155,22,FNV,Federatie Nederlandse Vakbeweging,2,,,250000
f87dcb7ee9c149fc9b6f16e44df143ab,21,31,EHN,European Heart Network,3,100000,199999,
f87527f8b5a64b01ab6a544a0be2559d,82,41,DPC,Democratization Policy Council,4,10000,24999,
f868670226a04774a0ac50fc61e049c3,155,31,,Plastic Soup Foundation,3,,9999,
f86835f85dad4d789d18a910d0320cbe,234,42,,CFA Institute,4,,9999,
f866f50203284dae986c96665eec70f4,234,31,HSI/Europe,Humane Society International/Europe,3,,9999,
f866aa2f47a744d7af82a486e5c0ba7b,82,31,COTEC,Council of Occupational Therapists for the European Countries,3,,9999,
f862a98e17374a9eb5e35c883016e7e5,59,22,AKB,Aut. Køle- & VP-firmaers Brancheforening,2,,9999,
f862721061854a2399c5f4024c0d0946,209,21,FERTIBERIA,Fertiberia S.A.,2,,,50000
f859218c72b64af58dd155eca7b726c9,82,22,SPIO,Spitzenorganisation der Filmwirtschaft e.V.,2,,9999,
f8577d8344f449218e1dfd2ad298c1c4,21,22,AREA,Air Conditioning and Refrigeration European Association,2,25000,49999,
f84f0c54331246178ae1cee50c1ff7eb,21,22,PU Europe,Federation of European Rigid Polyurethane Foam Associations,2,10000,24999,
f83c8e9db4e14867b682d314c0b47e78,75,11,CRITT T&L,Centre Régional d'Innovation et de Transferts de Technologie,1,200000,299999,
f83c4844e2064badbdf9493bd0eea3d3,155,61,Eindhoven-Brianport,Eindhoven-Brainport EU Office,6,50000,99999,
f8316fdfe6a3489ba8186e29acd48573,177,22,NERLEI,NERLEI - Associação Empresarial da Região de Leiria,2,,,0
f82cd82c698841c082f994ee2fbfceeb,21,31,CEPIS,The Council of European Professional Informatics Societies,3,,,61180
f827baf148f646849f57b1932b33cb4b,105,31,ECDL,ECDL Foundation,3,400000,499999,
f80ebabe75c64e7ca5ef181d75234a01,177,22,CAP,Confederação dos Agricultores de Portugal,2,,9999,
f80c8e891db544099edb3aafce2573b9,75,41,RIC,Rassemblement pour l'initiative citoyenne,4,,9999,
f805c237c6984b71872f5cc2c5d30b54,108,13,,Giorgia Lionetti,1,,9999,
f803c38c19614369b35f28f222053cae,214,22,PNC,PAN-Nordic Card Association,2,,9999,
f7ee46a37127466cb66ece78c2c61c50,21,24,Apex-Brasil,Apex-Brasil Brussels-Europe,2,50000,99999,
f7dc0e1aa6614804b9ed58408642972a,209,21,,ORMAZABAL,2,10000,24999,
f7db51f9fe2d4e36851c5f51fbfb6e79,82,31,EUGENT,Europäische Gesellschaft für Entschleunigung,3,,9999,
f7d2cdc10c434be6bf7e42654026d3d5,21,22,BNE,Broadcast Networks Europe,2,,,200000
f7c73fc5034f4859b0d0a8de08ad8d68,21,31,RCEEDAO,Réseau des Chambres des Experts Européens Département Afrique de l'Ouest,3,,9999,
f778714581174ba2acb185c6308084b5,209,13,,HORACIO GONZALEZ ALEMAN,1,,,
f7780bd564154e73bf20a882d10e7f42,82,31,,Familienvisum e.V.,3,,9999,
f7749d9bd7da4524a981669e93112645,233,21,,Emso Partners Limited,2,,9999,
f76d3c668e5646a193fac989a7346deb,75,22,AETMD,AETMD - Association européenne des transformateurs de maïs doux,2,,9999,
f767b2ff170c438c962e2e01a590f05b,21,11,,PACT European Affairs,1,,,550000
f766569a4ff645ee8beab5b563cedb14,234,31,UNOI,United Nations Of Indians,3,,9999,
