ID,Name,Country,Political_group,Party,Institution,Previous_position,New_position,category_new_position,category_bar,brussel_lobbying,total_activities,Link_source,Link_profile,on_JTR,Link_picture,Comments,group2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",Link Transparency register,Number of activities 
97024,Magdalena Alvarez,Spain,S&D,Socialist Workers' Party,European parliament,MEP,No information available; Awaiting trial for misappropriation of funds at the EIB,Unknown,Unknown,Unknown,1,,,No,,,,Interesting,,Very unclear what her current occupation is ,Raphael ,,,,,,
96992,Magdi Cristiano Allam,Italy,EPP,Union of Christian and Centre Democrats,European parliament,MEP,Editor at Il Gionarle ,Private Sector,Media,no,1,https://goo.gl/aS2sQw,,No,,,,,,,Raphael,,,,,,
4538,Malcolm Harbour,United Kingdom,ECR,Conservative Party,European parliament,MEP,Director of the Digital Policy Alliance; Senior Adviser at cabinet DN; Senior Adviser at European Policy Center ,Private Sector,Business association,yes ,3,,,Yes,,,,http://www.cabinetdn.com/our-team/malcolm-harbour/,,http://www.epc.eu/team.php?dept_id=7,Raphael,,,,,,
28275,Malgorzata Handzlik,Poland,EPP,Civic Platform,European parliament,MEP,Member of the European Network for Women in Leadership,NGO,NGO,Unknown,1,,,Yes,,,,Unclear if this is a job,,Not a job...Current occupation unknown,Raphael,,,,,,
96732,Malika Benarab-Attou,France,Greens/EFA,Europe Ecology,European parliament,MEP,Mission officer at the International Relations section of the Ecole Nationale Superieure de Securite sociale ,Academia,University,no,1,https://www.linkedin.com/in/malika-benarab-attou-3220b5b5,,No,,,,,,,TI-FR,,,,,,
96843,Marco Scurria,Italy,EPP,Brothers of Italy,European parliament,MEP,Member of the national executive Board of Fratelli d'Italia-Alleanza ,Public Sector,Political party,no,1,,,No,,,,Full time job?,,,Raphael,,,,,,
96800,Marek Henryk Migalski,Poland,ECR,Law and Justice / Poland Comes First,European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,,,No,,,,Confirm,,,Raphael,,,,,,
28380,Marek Siwiec,Poland,S&D,Democratic Left Alliance–Labor Union,European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,,,No,,,,Confirm,,,Raphael,,,,,,
111496,María Auxiliadora Correa Zamora,Spain,EPP,People's Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,,,No,,,PP,,,,Raphael ,,,,,,
28342,Maria Badia I Cutchet,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Member of the association A Soul for Europe,NGO,NGO,no,2,,,No,,,PSOE,A Soul for Europe uses EP funding.,,,Raphael,,,,,,
