name,id,voted,votes,percent,active
"Norica NICOLAI",96825,1926,2058,93.59,True
"Arne GERICKE",124815,1925,2058,93.54,True
"Marina ALBIOL GUZMÁN",125048,1924,2058,93.49,True
"Jeppe KOFOD",124870,1924,2058,93.49,True
"Notis MARIAS",125069,1924,2058,93.49,True
"Davor ŠKRLEC",124756,1923,2058,93.44,True
"Bolesław G. PIECHA",124874,1922,2058,93.39,True
"Deirdre CLUNE",124988,1921,2058,93.34,True
"Jean LAMBERT",4531,1921,2058,93.34,True
"Maria GRAPINI",124785,1920,2058,93.29,True
"Anja HAZEKAMP",125023,1920,2058,93.29,True
"Josu JUARISTI ABAUNZ",125051,1920,2058,93.29,True
"Gilles PARGNEAUX",96948,1919,2058,93.25,True
"Daniel CASPARY",28219,1918,2058,93.20,True
"Jens GEIER",96833,1918,2058,93.20,True
"Yannick JADOT",96740,1918,2058,93.20,True
"Danuta JAZŁOWIECKA",96781,1918,2058,93.20,True
"José Manuel FERNANDES",96899,1917,2058,93.15,True
"Marietje SCHAAKE",96945,1917,2058,93.15,True
"Kazimierz Michał UJAZDOWSKI",23791,1917,2058,93.15,True
"Tomislav DONCHEV",124843,54,58,93.10,False
"Michèle ALLIOT-MARIE",1179,1914,2058,93.00,True
"Eugen FREUND",125018,1914,2058,93.00,True
"Urmas PAET",129073,1860,2000,93.00,True
"Birgit COLLIN-LANGEN",112788,1913,2058,92.95,True
"Joachim ZELLER",96762,1913,2058,92.95,True
"Inés AYALA SENDER",28292,1912,2058,92.91,True
"Angelika NIEBLER",4289,1912,2058,92.91,True
"Lambert van NISTELROOIJ",28165,1912,2058,92.91,True
"Ramón JÁUREGUI ATONDO",97078,1911,2058,92.86,True
"Andreas SCHWAB",28223,1910,2058,92.81,True
"Martina WERNER",124826,1910,2058,92.81,True
"Philippe DE BACKER",109337,1909,2058,92.76,True
"Susanne MELIOR",124838,1909,2058,92.76,True
"Mylène TROSZCZYNSKI",124758,1909,2058,92.76,True
"Ricardo SERRÃO SANTOS",124741,1908,2058,92.71,True
"Fernando RUAS",124730,1907,2058,92.66,True
"Clare MOODY",124944,1906,2058,92.61,True
"Marisa MATIAS",96820,1905,2058,92.57,True
"Milan ZVER",96933,1904,2058,92.52,True
"Enrique CALVET CHAMBON",129407,1844,1994,92.48,True
"Bernd KÖLMEL",124824,1903,2058,92.47,True
"Manfred WEBER",28229,1903,2058,92.47,True
"Terry REINTKE",103381,1902,2058,92.42,True
"Eduard KUKAN",96651,1901,2058,92.37,True
"Gabriele ZIMMER",28248,1901,2058,92.37,True
"Cornelia ERNST",96852,1900,2058,92.32,True
"Gerben-Jan GERBRANDY",96940,1900,2058,92.32,True
"Norbert LINS",124808,1900,2058,92.32,True
"Knut FLECKENSTEIN",96840,1899,2058,92.27,True
"Sylvie GODDYN",21331,1899,2058,92.27,True
"Martina ANDERSON",113959,1898,2058,92.23,True
"Jill EVANS",4550,1898,2058,92.23,True
"Rebecca HARMS",28233,1898,2058,92.23,True
"Anneli JÄÄTTEENMÄKI",28314,1898,2058,92.23,True
"Richard ASHWORTH",28132,1897,2058,92.18,True
"Lampros FOUNTOULIS",125070,1897,2058,92.18,True
"Lefteris CHRISTOFOROU",26837,1896,2058,92.13,True
"Ska KELLER",96734,1896,2058,92.13,True
"Beatrix von STORCH",124825,1896,2058,92.13,True
"Jussi HALLA-AHO",124727,1895,2058,92.08,True
"Heidi HAUTALA",2054,1895,2058,92.08,True
"Gilles LEBRETON",124738,1894,2058,92.03,True
"Franck PROUST",108080,1894,2058,92.03,True
"Dariusz ROSATI",28394,1894,2058,92.03,True
"Tadeusz ZWIEFKA",28301,1894,2058,92.03,True
"Olga SEHNALOVÁ",96718,1892,2058,91.93,True
"István UJHELYI",124705,1892,2058,91.93,True
"Max ANDERSSON",124994,1890,2058,91.84,True
"Dominique MARTIN",124751,1888,2058,91.74,True
"Ioan Mircea PAŞCU",33984,1888,2058,91.74,True
"Joachim STARBATTY",124827,1888,2058,91.74,True
"Ulrike TREBESIUS",124829,1888,2058,91.74,True
"Werner KUHN",96767,1887,2058,91.69,True
"Bernard MONOT",124761,1885,2058,91.59,True
"Ildikó GÁLL-PELCZ",102886,1884,2058,91.55,True
"Reimer BÖGE",1037,1883,2058,91.50,True
"Sylvie GUILLAUME",96952,1883,2058,91.50,True
"Lidia SENRA RODRÍGUEZ",125049,1883,2058,91.50,True
"Pervenche BERÈS",1985,1882,2058,91.45,True
