Name,Country,Political_group,Party,Institution,Previous_position,New_position,Category_activity,Link_profile,Link_source,Description,Paid_unpaid,Date,Answers,Certified
Judith A. MERKIES,Netherlands,S&D,Labour Party,European Parliament,MEP,Advisor in European Public Policy and Regulatory Affairs ,Potential,,https://www.linkedin.com/in/judith-merkies-b92994,For whom?,,,This is her own consultancy however no website could be found. unclear wether it constitutes Brussels-focussed lobbying,Raphael
Alajos MÉSZÁROS,Slovakia,EPP,Party of the Hungarian Coalition,European Parliament,MEP,Professor Faculty of Chemical and Food Technology;,Academic,,,,,,,
Marek Henryk MIGALSKI,Poland,ECR,Law and Justice / Poland Comes First,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Guido MILANA,Italy,PASD,0,European Parliament,MEP,"Director of Fisheries and the Minister of Sea of Agriculture , Food and Forestry",Elected office & public sector,,,,,,,
Ana Maria MIRANDA PAZ,Spain,Greens-EFA,BNG,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Alexander MIRSKY,Latvia,S&D,Alternative,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Gay MITCHELL,Ireland,EPP,Fine Gael,European Parliament,MEP,Member of the International Bureau for Epilepsy,NGO,,,,,,,
Andreas MÖLZER,Austria,NI,Freedom Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Vital MOREIRA,Portugal,S&D,Socialist Party,European Parliament,MEP,E.MA National Director in EIUC,Academic,,,,,,,
Claudio MORGANTI,Italy,EFD,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Radvil? MORK?NAIT?-MIKUL?NIEN?,Lituania,EPP,Homeland Union,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Tiziano MOTTI,Italy,EPP,0,European Parliament,MEP,President of the European Movement of Rights (Italian) ,Unknown,,http://www.tizianomotti.com/curriculum-politico/,Check this,,,Not possible to locate further information. No website of the movement that was founded in 2004,Raphael
Jan MULDER,Netherlands,ALDE,VVD,European Parliament,MEP,Retired,Retired,,http://www.vvd.frl/tag/jan-mulder/,Provides occasional speeches to senior members of his party,,,,Raphael
María MUÑIZ DE URQUIZA,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Paul MURPHY,Ireland,GUE/NGL,Socialist Party,European Parliament,MEP,Member of Irish Parliament,Elected office & public sector,,,,,,,
Cristiana MUSCARDINI,Italy,EPP,0,European Parliament,MEP,Libero professionista Politiche pubbliche,potential,,,Check this,,,,
Vojt?ch MYNÁ?,Czech Republic,S&D,CSSD,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Juan Andrés NARANJO ESCOBAR,Spain,EPP,PP,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Mike NATTRASS,United Kingdom,NI,An Independence from Europe,European Parliament,MEP,directer in a firm of Chartered Surveyors and a fellow of the Royal Institution of Chartered Surveyors,Private Sector,,,,,,,
Katarína NEVE?ALOVÁ,Slovakia,S&D,Direction–Social Democracy,European Parliament,MEP,Cohesion Policy & EU Outermost Regions at SK PRES - Slovak Presidency of the Council of the EU,Elected office & public sector,,,,,,,
Bill NEWTON DUNN,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,Retired from public life ,Retired,,,,,,,
Nadezhda NEYNSKY,Bulgaria,EPP,Blue coalition,European Parliament,MEP,Ambassador of Bulgaria to Turkey,Elected office & public sector,,,,,,,
Rare?-Lucian NICULESCU,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
S?awomir NITRAS,Poland,EPP,Civic Platform,European Parliament,MEP,"Member of the Sejm, Poland ",Elected office & public sector,,,,,,,
Raimon OBIOLS,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Kristiina OJULAND,Estonia,ALDE,"Reform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 IndependentReform Party (2009–2013)
 Independent",European Parliament,MEP,Chairman of Estonian Society ,Unknown,,,Check this,,,,
Wojciech Micha? OLEJNICZAK,Poland,S&D,Democratic Left Alliance–Labor Union,European Parliament,MEP,No updated information available,Unknown,,,,,,,Raphael
Ria OOMEN-RUIJTEN,Netherlands,EPP,Christian Democratic Appeal,European Parliament,MEP,Senator for the Netherlands Parliament,Elected office & public sector,,,,,,,
Eva ORTIZ VILELLA,Spain,EPP,People's Party,European Parliament,MEP,Deputy for the Popular Party of the Alicante Region ,Elected office & public sector,,,,,,,
Csaba ?RY,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Miroslav OUZKÝ,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,Expert guarantor at ARC - MED . R. O,potential,,,Check this,,,,
Siiri OVIIR,Estonia,ALDE,"Centre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 IndependentCentre Party (2009–2012)
 Independent",European Parliament,MEP,No updated information available,Unknown,,,,,,,
Doris PACK,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Chairwoman of the Advisory Board of A Soul for Europe.,NGO,,http://www.asoulforeurope.eu/about-us/mission-statement,Note: the organisation does state it is a link between civil society and the EP on the issue of culture,,,,Raphael
Ivari PADAR,Estonia,S&D,Social Democratic Party,European Parliament,MEP,Chiarman of the rural affairs committee of the Riigikogu,Elected office & public sector,,,,,,,
Athanasios PAFILIS,Greece,GUE/NGL,Communist Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Riikka PAKARINEN,Finland,ALDE,Suomen Keskusta,European Parliament,MEP,Working in the forest industry ,potential,,,As a lobbyist or a wood-chuck?,,,,
Justas Vincas PALECKIS,Lituania,S&D,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Chrysoula PALIADELI,Greece,S&D,Socialist Movement,European Parliament,MEP,"Archaeology Professor, Thessaloniki's Aristotle University",Academic,,,,,,,
Alfredo PALLONE,Italy,EPP,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Vladko Todorov PANAYOTOV,Bulgaria,ALDE,Movement for Rights and Freedoms,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Monika PANAYOTOVA,Bulgaria,EPP,Citizens for European Development of Bulgaria,European Parliament,MEP,"General Manager of Inno Advisers Ltd, owned by COMAC Medical Ltd., member of the Advisory Bard of Bulgarian Memory Foundation , as well as manager of program “Europe” at the Sofia Defence Forum",Brussels-focussed lobbying,,,,,,,
Antigoni PAPADOPOULOU,Cyprus,S&D,Democratic Party,European Parliament,MEP,President of the women’s Organisation of DIKO (GODIK),NGO,,https://en.wikipedia.org/wiki/Antigoni_Papadopoulou,,,,,TI-CY
Giorgos PAPAKONSTANTINOU,Greece,S&D,Socialist Movement,European Parliament,MEP,Working in an advisory capacity in the private sector,potential,,,For whom?,,,,
Georgios PAPANIKOLAOU,Greece,EPP,New Democracy,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Georgios PAPASTAMKOS,Greece,EPP,New Democracy,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Antonyia PARVANOVA,Bulgaria,ALDE,National Movement for Stability and Progress (National Movement Simeon II),European Parliament,MEP,President of NDSV/NMSP Bulgaria.Co-president to the Fit for Work Europe Coalition.,Brussels-focussed lobbying,,,Check this,,,,
Jaroslav PAŠKA,Slovakia,EFD,National Party,European Parliament,MEP,Member of the National Council of the Slovak Republic,Elected office & public sector,,,,,,,
Maria do Céu PATRÃO NEVES,Portugal,EPP,Social Democratic Party,European Parliament,MEP,"Professora Catedrática de Filosofia, disciplina de Ética, da Universidade dos Açores ",Academic,,,,,,,
Andrés PERELLÓ RODRÍGUEZ,Spain,S&D,PSOE,European Parliament,MEP,"lawyer, writer",lawyer,,,,,,,
Sandra PETROVI? JAKOVINA,Croatia,S&D,Social Democratic Party,European Parliament,MEP,law practice,lawyer,,,,,,,
Mario PIRILLO,Italy,PASD,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Hubert PIRKER,Austria,EPP,OVP,European Parliament,MEP,"Business consultant , company owner of Dr. Hubert Pirker - EUCONET",Brussels-focussed lobbying,,,,,,,
Andreas PITSILLIDES,Cyprus,EPP,Democratic Rally,European Parliament,MEP,Theologian ,Other,,https://nl.wikipedia.org/wiki/Andreas_Pitsillides,,,,,TI-CY
Athanasios PLEVRIS,Greece,EFD,Popular Orthodox Rally,European Parliament,MEP,"lawyer, politician ",lawyer,,,,,,,
Rovana PLUMB,Romania,S&D,Social Democratic Party,European Parliament,MEP,"President of the National Council of PSD, Deputy in the Romanian Parliament",Elected office & public sector,,,,,,,
Anni PODIMATA,Greece,S&D,Socialist Movement,European Parliament,MEP,"Journalist,  Consultancy on Communication and EU Affairs/Energy Intensive Industry",Brussels-focussed lobbying,,,,,,,
Miguel PORTAS,Portugal,GUE/NGL,Left Bloc,European Parliament,MEP,died,Deceased,,,,,,,
Bernd POSSELT,Germany,EPP,Christian Social Union (Bavaria),European Parliament,MEP,"Freelance journalist, foreign policy adviser to the CSU European Group, author of books",Potential,,http://www.telegraph.co.uk/news/worldnews/europe/germany/11795374/German-MEP-who-lost-his-seat-still-turning-up-to-parliament.html,Note: stilll very active politically inside the EP and plans to stand for EP election in 2019,,,,Raphael
Hans-Gert PÖTTERING,Germany,EPP,Christian Democratic Union,European Parliament,MEP,"Member of the Board of Directors of the Association for the ""International Charlemagne Prize"" of Aachen, Chairman of the Konrad-Adenauer-Stiftung, also a boardmember of ""A sould for Europe"" with Doris Pack. Honrary MEP and Boardmember of the House of European History ",Elected office & public sector,,https://de.wikipedia.org/wiki/Hans-Gert_P%C3%B6ttering,Also a member of the A soul for Europe with Doris Pack,,,,Raphael
Konstantinos POUPAKIS,Greece,EPP,New Democracy,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Phil PRENDERGAST,Ireland,S&D,PSOE,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Vittorio PRODI,Italy,PASD,0,European Parliament,MEP,Independent Political Organization Professional,potential,,,Check this,,,,
Jacek PROTASIEWICZ,Poland,EPP,Civic Platform,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Fiorello PROVERA,Italy,EFD,0,European Parliament,MEP,Deputy in the Italian Parliament,Elected office & public sector,,,,,,,
Hella RANNER,Austria,EPP,People's Party,European Parliament,MEP,sentenced to prison for 2 zears and a half in 2014,Prison,,,,,,,
Bernhard RAPKAY,Germany,S&D,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,TI-DE
Sylvana RAPTI,Greece,S&D,Socialist Movement,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Britta REIMERS,Germany,ALDE,Free Democratic Party,European Parliament,MEP,Self-employed as a dairy and crop farmer,Other,,https://www.facebook.com/pg/brittareimersmdep/about/?ref=page_internal,,,,,TI-DE
Vladimír REMEK,Czech Republic,GUE/NGL,Communist Party (Bohemia and Moravia),European Parliament,MEP,Czech Republic Ambassador to Russia,Elected office & public sector,,,,,,,
Mitro REPO,Finland,S&D,Social Democratic Party,European Parliament,MEP,"Trainer, speaker, lecturer at MitroFoni Oy, Finland, Religious Institutions",Academic,,,,,,,
Teresa RIERA MADURELL,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Niccolò RINALDI,Italy,ALDE,0,European Parliament,MEP,writer,Media,,,,,,,
Crescenzio RIVELLINI,Italy,EPP,0,European Parliament,MEP,Direttore tributario presso Ministero dell'economia e delle finanze,Elected office & public sector,,,,,,,
Jean ROATTA,France,EPP,UMP,European Parliament,MEP,Adjoint au maire de Marseille,Elected office & public sector,,,,,,,
Zuzana ROITHOVÁ,Czech Republic,EPP,Christian and Democratic Union,European Parliament,MEP, vice-president of the Christian-Democratic Party-Czechoslovakian Peoples Party ,Elected office & public sector,,,,,,,
Carmen ROMERO LÓPEZ,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,temporary out of job due to cancer disease,retired,,,,,,,
Raül ROMEVA i RUEDA,Spain,Greens-EFA,The Left ( Initiative for Catalonia Greens),European Parliament,MEP,"Minister of Foreign Affairs, Institutional Relations & Transparency, Catalan Government.",Elected office & public sector,,,,,,,
Licia RONZULLI,Italy,EPP,0,European Parliament,MEP,"Vice Presidente Fiera Milano, Membro Uff Presidenza Forza Italia,",Elected office & public sector,,,,,,,
Anna ROSBACH,Denmark,EFD,People's Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Tadeusz ROSS,Poland,EPP,PO,European Parliament,MEP,"Polish actor , comedian , singer , author of musicals , song lyrics and poems for children , writer and politician ",Media,,,,,,,
Oreste ROSSI,Italy,F,0,European Parliament,MEP,deputy in the Italian Parliament ,Elected office & public sector,,,,,,,
Dagmar ROTH-BEHRENDT,Germany,S&D,SPD,European Parliament,MEP,Special advisor to Commission ANDRIUKAITIS (DG SANTE) ,Elected office & public sector,,http://ec.europa.eu/civil_service/about/who/sa_en.htm,,,,,Raphael
Libor ROU?EK,Czech Republic,S&D,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Alfreds RUBIKS,Latvia,GUE/NGL,Harmony Centre,European Parliament,MEP,convicted for treason ,Prison,,,,,,,
Heide RÜHLE,Germany,Greens-EFA,Alliance '90/The Greens,European Parliament,MEP,No updated information available,Unknown,,,,,,,TI-DE
K?rlis ŠADURSKIS,Latvia,EPP,Civic Union,European Parliament,MEP,professor at Riga Technical University,Academic,,,,,,,
Katrin SAKS,Estonia,S&D,SDE,European Parliament,MEP,"vice-chairman of the Social Democratic Party, rector at Tallinn University",Elected office & public sector,,,,,,,
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,Spain,EPP,People's Party,European Parliament,MEP,politician ,Elected office & public sector,,,,,,,
Potito SALATTO,Italy,EPP,0,European Parliament,MEP,died,Deceased,,,,,,,
Nikolaos SALAVRAKOS,Greece,EFDD,LAOS,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Antolín SÁNCHEZ PRESEDO,Spain,S&D,PSOE,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Marie-Thérèse SANCHEZ-SCHMID,France,EPP,Union for a Popular Movement–Radical,European Parliament,MEP,"assistant to the Mayor of Perpignan, Jean-Paul Alduy and an English teacher",Elected office & public sector,,,,,,,
Amalia SARTORI,Italy,EPP,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Vilja SAVISAAR-TOOMAST,Estonia,ALDE,"Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)Centre Party (2009–2012)
 Reform Party (since 2013)",European Parliament,MEP,No updated information available,Unknown,,,,,,,
Carl SCHLYTER,Sweden,Greens-EFA,Green Party,European Parliament,MEP,member of the Swedish Riksdag for Stockholm County since 2014,Elected office & public sector,,,,,,,
Olle SCHMIDT,Sweden,ALDE,Liberal People's Party,European Parliament,MEP,Senior Consultant at Hume Brophy,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/olle-schmidt,,,,,
Pál SCHMITT,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,resigned from Hungarian Parliament ,Unknown,,,,,,,
Horst SCHNELLHARDT,Germany,EPP,Christian Democratic Union,European Parliament,MEP,No updated information available,Unknown,,,,,,,TI-DE
Birgit SCHNIEBER-JASTRAM,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Retired,Retired,,,,,,,TI-DE
Elisabeth SCHROEDTER,Germany,Greens-EFA,Alliance '90/The Greens,European Parliament,MEP,Retired,retired,,,,,,,TI-DE
Werner SCHULZ,Germany,Greens-EFA,Alliance '90/The Greens,European Parliament,MEP,Member of the board of trustees of the Peaceful revolution foundation ,NGO,,http://www.stiftung-fr.de/Spenden-Zustiftung.9.0.html,,,,,Raphael
Edward SCICLUNA,Malta,S&D,Labour Party (2009–2013),European Parliament,MEP,"Finance Minister, Government of Malta",Elected office & public sector,,,,,,,
Giancarlo SCOTTÀ,Italy,EFD,0,European Parliament,MEP,"Professor, Sindaco presso Comune di Vittorio veneto",Academic,,,,,,,
Marco SCURRIA,Italy,EPP,0,European Parliament,MEP,Member of the National Executive board of Fratelli d'Italia-Alleanza (political party),Elected office & public sector,,,Full time job?,,,,
Salvador SEDÓ i ALABART,Spain,EPP,Coalition for Europe ( Democratic Union of Catalonia),European Parliament,MEP,Senator in the Parliament of Catalunia,Elected office & public sector,,,,,,,
Richard SEEBER,Austria,EPP,People's Party,European Parliament,MEP,Leiter Tirol-Büro bei Vertretung der Europaregion Tirol-Südtirol-Trentino bei der EU,Brussels-focussed lobbying,,,,,,,
Joanna SENYSZYN,Poland,S&D,Democratic Left Alliance–Labor Union,European Parliament,MEP,"vice-president of the Democratic Left Alliance , member of Polish Parliament",Elected office & public sector,,,,,,,
Debora SERRACCHIANI,Italy,PASD,0,European Parliament,MEP, President of the Italian region of Friuli-Venezia Giulia since 22 April 2013.,Elected office & public sector,,,,,,,
Adrian SEVERIN,Romania,S&D,Social Democratic Party,European Parliament,MEP,sentenced to 3 years of prison in 2016,Prison,,,,,,,
Ovidiu Ioan SILAGHI,Romania,ALDE,PNL,European Parliament,MEP,Member of the Romanian Parliament (Chamber of Deputies) for Satu Mare County,Elected office & public sector,,,,,,,
Sergio Paolo Francesco SILVESTRIS,Italy,EPP,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Brian SIMPSON,United Kingdom,PASD,Labour Party,European Parliament,MEP,Senior consultant at Hume Brophy. ,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/brian-simpson,,,,,
Nicole SINCLAIRE,United Kingdom,NI,We Demand a Referendum[7],European Parliament,MEP,investigated for misspending EU money. Current occupation unknown ,Unknown,,http://www.bbc.com/news/uk-england-36762323,TI UK: not in prison,,,Indeed. Has been cleared of the allegations ,Raphael
Marek SIWIEC,Poland,S&D,Democratic Left Alliance–Labor Union,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Peter SKINNER,United Kingdom,PASD,Labour Party,European Parliament,MEP,New employer: Allianz SE ,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/peter-skinner,Expenses scandal conviction,,,,
Joanna Katarzyna SKRZYDLEWSKA,Poland,EPP,Civic Platform,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Theodoros SKYLAKAKIS,Greece,EPP / ALDE,"New Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 DrasiNew Democracy (2009–2010)
 Democratic Alliance(2010–2012)
 Drasi",European Parliament,MEP,President of Drassi,Elected office & public sector,,,,,,,
Timo SOINI,Finland,EFD,True Finns,European Parliament,MEP,Deputy Prime Minister of Finland,Elected office & public sector,,,,,,,
Søren Bo SØNDERGAARD,Denmark,GUE/NGL,People's Movement against the EU,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Bogus?aw SONIK,Poland,EPP,Civic Platform,European Parliament,MEP,Member of the Parliament in Poland,Elected office & public sector,,,,,,,
Sophocles SOPHOCLEOUS,Cyprus,S&D,EDEK,European Parliament,MEP,Lawyer,Lawyer,,,,,,,TI-CY
Catherine SOULLIE,France,EPP,UMP,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Alda SOUSA,Portugal,GUE/NGL,BE,European Parliament,MEP,Teacher in University of Porto. Member of the National Board of Left Bloc.,Academic,,,,,,,
Francesco Enrico SPERONI,Italy,EFD,0,European Parliament,MEP,deputy in the Italian parliament,Elected office & public sector,,,,,,,
Ewald STADLER,Austria,NI,Alliance for the Future,European Parliament,MEP,Lawyer in Austria and Germany,lawyer,,,,,,,
Laurence J.A.J. STASSEN,Netherlands,NI,Party for Freedom (2009–2014) / Independent,European Parliament,MEP,Freelance journalist ,Media,,,,,,,
Peter Š?ASTNÝ,Slovakia,EPP,Democratic and Christian Union–Democratic Party,European Parliament,MEP,Senior Associate at Allen and Overy ,lawyer,,,,,,,
Gabriele STAUNER,Germany,EPP,CSU,European Parliament,MEP,Lecturer at the Munich College of politics. Member of the board of Trustees of the University of Budapest.,Academic,,http://www.csu-europagruppe.de/seiten/stauner.htm,,,,,Raphael
Georgios STAVRAKAKIS,Greece,S&D,Socialist Movement,European Parliament,MEP,died ,Deceased,,,,,,,
Dirk STERCKX,Belgium,ALDE,Open Flemish Liberals and Democrats,European Parliament,MEP,Member of the supervisory board of the SNCB. Director of the Audit Committee of the SNCB.,Elected office & public sector,,http://www.etaamb.be/fr/arrete-royal-du-14-octobre-2013_n2013014609.html,Nomited by royal decree,,,,Raphael 
Struan STEVENSON,United Kingdom,ECR,Conservative Party,European Parliament,MEP,retired,retired,,,,,,,
Daniël van der STOEP,Netherlands,NI,Party for Freedom (2009–2011) / Independent,European Parliament,MEP,Was sentenced to prison for 5 month. Current occupation unknown  ,Unknown,,https://nl.wikipedia.org/wiki/Dani%C3%ABl_van_der_Stoep,Was sentenced to prison in December 2015. Should no longer be in prison ,,,,Raphael
Dimitar STOYANOV,Bulgaria,NI,Attack,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Emil STOYANOV,Bulgaria,EPP,GERB,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Ernst STRASSER,Austria,EPP,People's Party,European Parliament,MEP,"Founder of CCE- Consulting, Coaching and Educating- gesmbh Wien",Consulting,,https://lobbypedia.de/wiki/Ernst_Strasser,,,,,
Ivo STREJ?EK,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Michèle STRIFFLER,France,EPP,Modern Left,European Parliament,MEP,"Déléguée à la condition animale"" pour la ville de MULHOUSe, secretaire nationale de l'UDI",Elected office & public sector,,,,,,,
Robert STURDY,United Kingdom,ECR,Conservative Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
László SURJÁN,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Gianluca SUSTA,Italy,PASD,0,European Parliament,MEP,Member of the Italian Parliament,Elected office & public sector,,,,,,,
Alf SVENSSON,Sweden,EPP,Christian Democrats,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Eva-Britt SVENSSON,Sweden,GUE/NGL,Left Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,Independent Political Adviser,potential,,,Check this. Need link,,,,
Csanád SZEGEDI,Hungary,NI,Jobbik–The Movement for a Better Hungary,European Parliament,MEP,resigned from political posts ,Unknown,,,retired?,,,,
Konrad SZYMA?SKI,Poland,ECR,Law and Justice,European Parliament,MEP,"Minister for European Affairs, Poland",Elected office & public sector,,,,,,,
Csaba Sándor TABAJDI,Hungary,S&D,Socialist Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Salvatore TATARELLA,Italy,EPP,0,European Parliament,MEP,"Studio Legale Tatarella, Lawyer · Bari, Italy",lawyer,,,,,,,
Rui TAVARES,Portugal,GUE–NGL / Greens–EFA,"Left Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 IndependentLeft Bloc (2009–2011)
 Independent",European Parliament,MEP,No updated information available,Unknown,,,,,,,
Rebecca TAYLOR,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Nuno TEIXEIRA,Portugal,EPP,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Zoran THALER,Slovenia,S&D,Social Democrats,European Parliament,MEP,"politician and businessman,  Chief Executive Officer of Si.mobil d.d. Mr. Thaler has been a Member of Supervisory Board at Si.mobil d.d.since August 2006.",Private Sector,,,,,,,
Alexandra THEIN,Germany,ALDE,Free Democratic Party,European Parliament,MEP,Lawyer and Notary. Resigned from the executive board of the FDP in 2015,lawyer,,https://www.linkedin.com/in/alexandra-thein-5649b921,,,,,TI-DE
Britta THOMSEN,Denmark,S&D,Social Democrats,European Parliament,MEP,adjunct professor at Copenhagen Business School (CBS) and owner of Britta Thomsen Consulting,Consulting,,,,,,,
Silvia-Adriana ?IC?U,Romania,S&D,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Patrice TIROLIEN,France,S&D,Socialist Party,European Parliament,MEP,mayor of Grand-Bourg,Elected office & public sector,,,,,,,
Georgios TOUSSAS,Greece,GUE/NGL,Communist Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Catherine TRAUTMANN,France,S&D,Socialist Party,European Parliament,MEP,European Coordinator for the North Sea-Baltic TEN-T Corridor ,Elected office & public sector,,,,,,,
Gino TREMATERRA,Italy,EPP,UDC,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Michail TREMOPOULOS,Greece,Greens-EFA,Ecologist Greens,European Parliament,MEP," lawyer, journalist, environmentalist and politician.",lawyer,,,,,,,
