status,unregistered,ec_representative,created_at,updated_at,date,participants,location,ec_org,cancelled,deregistered,id,subject
active,,Pauline Rouch,2015-05-07T23:07:03.395226,2015-09-09T01:41:54.133545,2015-01-29T00:00:00,Cable Europe(768c93c241d64bd5a45c92e810268b98),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,1387b9ee98966c211fdce126e9154fbb,Digital Single Market
active,,Paulina Dejmek Hack,2015-05-07T23:07:03.411535,2015-09-09T01:41:54.184561,2015-01-29T00:00:00,TheCityUK(4054501cc04842ec80b2b29e7d17fb38),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,c4f9edd4f212e99d037c7ec8406d761d,New Commission's priorities
active,,Pauline Rouch,2015-05-07T23:07:03.442070,2015-09-09T01:41:54.265537,2015-01-27T00:00:00,Sports Rights Owners Coalition(5263e8a636dd49b28e4d1252b53c5fb6),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,90e903b8fe5f1069f618710e31a893ca,Digital Single Market
inactive,,Carlo Zadra,2015-05-07T23:07:03.421356,2015-07-06T16:49:59.166891,2015-01-28T00:00:00,Coalition of European Organisations on Data Protection(12cd636e447347e491043c02be353e2c),BERLAYMONT - BRUSSELS,Cabinet members of President Jean-Claude Juncker,False,,7ee4087af5d548060bd5106d801cbebe,Data protection issues
active,,Pauline Rouch,2015-05-07T23:07:02.826433,2015-09-09T01:41:53.053295,2015-03-12T00:00:00,"European Magazine Media Association(a9b40d229fdc4096b448849552ab0900), European Newspaper Publishers' Association(c48b5be6853f4085bfc0fd935b13d3e8)",Brussels,Cabinet members of President Jean-Claude Juncker,False,,7c9043c380b6d1d2f2db98e980641276,Digital Single Market
active,,Paulina Dejmek Hack,2015-05-07T23:07:02.791923,2015-09-09T01:41:52.987467,2015-03-16T00:00:00,PensionsEurope(31dff98c7c6d454d948737002ef16b9e),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,d706bc2b448d0955fc169838666a79ca,Priorities of the new Commission
inactive,,Pauline Rouch,2015-05-07T23:07:02.761527,2015-06-01T01:22:03.679129,2015-03-17T00:00:00,The Walt Disney Company Benelux BVBA(b3860cc13bda4986b9ae8af0fc5f93c8),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,daef15988f07d3f418edac64e5ec2412,Digital Single Market
inactive,,Martin Selmayr,2015-05-07T23:07:02.985883,2015-06-01T01:22:03.908689,2015-02-27T00:00:00,ENGIE(3398b602418f41088f1b5c1b9a82baa7),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,106811123f4f42fd30974ffb98aa284b,Current EU Issues
active,,Leon Delvaux,2015-05-07T23:07:03.032176,2015-09-09T01:41:53.548300,2015-02-18T00:00:00,ArcelorMittal(0c8ebebcfc2f4e3eb6a6684f3d35d3db),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,d33cf5899636a97aae82c4611d536b7a,Trade
active,,Telmo Baltazar,2015-05-07T23:07:03.499280,2015-09-09T01:41:54.468151,2015-01-26T00:00:00,WWF European Policy Programme(aac5ca5c751449f78d0c706904a23cd3),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,6c1c83a6402cbcb24d5d5150878eab0b,Energy Union
active,,Telmo Baltazar,2015-05-07T23:07:03.508365,2015-09-09T01:41:54.516848,2015-01-26T00:00:00,Euroheat & Power(ecbcb50dae0d41499e12a474ad7619af),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,9d39b806f435294c4b73f512e8eeb673,Energy Union
active,,Paulina Dejmek Hack,2015-05-07T23:07:03.520607,2015-09-09T01:41:54.555343,2015-01-23T00:00:00,Swiss Re Ltd.(9262523d55de46a889cc04264d36d38b),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,b771f93a87af9d90771ba56d1c998e1c,Investment Plan
active,,Sandra Kramer Martin Selmayr,2015-05-07T23:07:03.531166,2015-09-09T01:41:54.598359,2015-01-23T00:00:00,Egon Zehnder International GmbH(97260363865646908e661700cb6a1960),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,828750c5be95cfcc43a66e40ce01b3fa,Developments in global consulting
active,,Paulina Dejmek Hack,2015-05-07T23:07:03.550329,2015-09-09T01:41:54.669249,2015-01-23T00:00:00,Avisa Partners(f45aa50fc4bd4d4a992d2f7a7170d390),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,882fb163e1076ed2ac84a7598af6d9b9,Concurrence
inactive,,Paulina Dejmek Hack,2015-05-07T23:07:03.540967,2015-07-06T16:49:59.612352,2015-01-23T00:00:00,Association européenne du cautionnement(a0995d8c0bc84b12bcdbda469b4966b5),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,876a39aa06d8e9dedea5e6aab2c278ca,Investment Plan
active,,Paulina Dejmek Hack,2015-05-07T23:07:03.592270,2015-09-09T01:41:54.778067,2015-01-23T00:00:00,American Chamber of Commerce to the European Union(82978772cb2f4cc0a2eb2206f007fc55),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,08116fdd7d4a203871ea6dd926650696,Investment Plan
inactive,,Telmo Baltazar,2015-05-07T23:07:03.559725,2015-07-06T16:49:59.713866,2015-01-23T00:00:00,"European Ferrous Recovery & Recycling Federation(8af1a3f5aaed452fbfdc5e67757b4046), European Metal Trade & Recycling Federation(1f7b42c6f69845fb8aee1ae4abe269f3), European Recycling Industries' Confederation(c7990f8b228942249f8bb4fd3e0b6b37)","Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,fc3ddc0c1fdaba9f6bbe6f9ff51c7a85,Circular Economy
active,,Paulina Dejmek Hack,2015-05-07T23:07:03.603204,2015-09-09T01:41:54.822009,2015-01-22T00:00:00,Confederation of Swedish Enterprise(41723cdabaf3462382329fe6c03c6391),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,03f524c3d7344a921123c9bc21065287,New Commission Priorities
active,,Luc Tholoniat,2015-05-07T23:07:03.612076,2015-09-09T01:41:54.862510,2015-01-22T00:00:00,Deutscher Industrie- und Handelskammertag e.V.(4fe70a269a59465d8846a5c4d1a444fa),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,dc15cf0a519f7c56ed127769d002d9fd,Situation et priorités économiques
active,,Pauline Rouch,2015-05-07T23:07:03.620594,2015-09-09T01:41:54.917349,2015-01-21T00:00:00,European Producers Club(6558cdd88e2e44219d244170bc561e40),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,ef127c413ef441f1cfb0b4fa246da662,Digital Single Market
active,,Luc Tholoniat,2015-05-07T23:07:03.631784,2015-09-09T01:41:54.955281,2015-01-21T00:00:00,European Anti Poverty Network(a674f6b8cb3a482eac9469e668032897),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,c60d126fe0d7de844a8774d6c10ca5a4,Priorités sociales
active,,Paulina Dejmek Hack,2015-05-07T23:07:03.641484,2015-09-09T01:41:54.998204,2015-01-20T00:00:00,"McGraw Hill Financial, Inc.(ccaa0cdcb58949db901da30a473518ea)","Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,aeb12bcc0c642fe1b11abb613e756223,Investment Plan
active,,Pauline Rouch,2015-05-07T23:07:03.649873,2015-09-09T01:41:55.026027,2015-01-20T00:00:00,TeliaSonera AB(b844e28187b74ea3beebadbef0236d27),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,0126c39f7122635e2f1b837957ea788c,Digital Single Market
active,,Telmo Baltazar,2015-05-07T23:07:03.660889,2015-09-09T01:41:55.059006,2015-01-20T00:00:00,Verband der Automobilindustrie(996c56b9a1354c5392858792eb95261b),"Brussels, Belgium",Cabinet members of President Jean-Claude Juncker,False,,48cf4655738ac2c7d0bbe4bae7d707f1,Investing in EU
