ID,Name,Link_image,Country,Political_group,Party,Institution,Previous_position,New_position,category_pie,category_bar,brussel_lobbying,Link_profile,Link_source,group2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",Link Transparency register
28139,Carl SCHLYTER,,Sweden,Greens/EFA,Green Party,European Parliament,MEP,member of the Swedish Riksdag for Stockholm County since 2014,Elected office & public sector,Elected office,no,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/carl-schlyter_46eb7b79-60e3-4bcc-9077-dbd9091aa54d,,,,,Raphael,,,,,
4274,Olle SCHMIDT,,Sweden,ALDE,Liberal People's Party,European Parliament,MEP,Senior Consultant at Hume Brophy,Private Sector,Consultancies,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/olle-schmidt,,,,,Raphael,,,,,
96678,Alf SVENSSON,,Sweden,EPP,Christian Democrats,European Parliament,MEP,Board of Directors of the family first foundation ,"Non-governmental organisations, platforms and networks and similar",NGOs,no,,http://www.familjenforst.nu/styrelsen/,,Focussed on defending the family as a fundament in Swedish  culture. ,,,Raphael,,,,,
28134,Eva-Britt SVENSSON,,Sweden,GUE/NGL,Left Party,European Parliament,MEP,"Chairman of PRO in the city of Vaxjo (largest senior association in Sweden...taking care of issues such as acces to healthcare, activities, fostering community among seniors) ",Elected office & public sector,Public authorities,no,,http://www.pro.se/Distrikt/Kronoberg/Samorganisationer/Vaxjo-Samorganisation/Foreningar/PRO-Vaxjo/Har-hittar-du-oss/Styrelsen4/,,,,,Raphael,,,,,
28130,Åsa WESTLUND,,Sweden,S&D,Social Democratic Party,European Parliament,MEP,Member of Swedish Riksdag,Elected office & public sector,Public authorities,no,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/asa-westlund_73281fee-b276-4150-8cf0-fd3368b3c5c6,,,,,Raphael,,,,,
96925,Sylvana RAPTI,,Greece,S&D,Socialist Movement,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,No info ,,,Raphael,,,,,
4537,Sir Robert ATKINS,,United Kingdom,ECR,Conservative Party,European Parliament,MEP,President of Preston Conservative Association ,"Non-governmental organisations, platforms and networks and similar",NGOs,no,,,,,,,Raphael ,,,,,
112014,Phil BENNION,,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,"Chairman of the British group of ""liberal international"" and farmer ",Elected office & public sector,Political parties,no,,http://www.liberal-international.org/site/Committee_and_Working_Groups.html,LibDem,Lobbying or not ? Probably political party,,https://www.linkedin.com/in/phil-bennion-2a15ab4,Raphael,,,,,
28513,Godfrey BLOOM,,United Kingdom,NI,United Kingdom Independance Party,European Parliament,MEP,Chairman of the Parliamentary Mises Book Club (Austrian economics). Independent politician. ,"Think tanks, research and academic institutions",Think tanks,no,,https://mises.org/profile/godfrey-bloom,UKIP,,,,Raphael,,,,,
33570,Sharon BOWLES,,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,New Employer London Stock Exchange Group plc; Prime Collaterised Securities Initiative,Private Sector,Companies and Groups,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/sharon-bowles,LibDem,,,,Raphael,,,,,
96749,Andrew Henry William BRONS,,United Kingdom,NI,British Democratic Party,European Parliament,MEP,President of British Democratic Party,Elected office & public sector,Political parties,no,,http://www.dailystormer.com/british-renaissance-jez-turner-and-andrew-brons/,BDP,Really not sure that is his job. Can you look again?,,No further info found. Gives public speeches,Raphael ,,,,,
96760,Tiziano MOTTI,,Italy,EPP,Union and Christians and Democrats,European Parliament,MEP,President of the European Movement of Rights (Italian) ,Unknown,Unknown,Unknown,,http://www.tizianomotti.com/curriculum-politico/,LibDem,Check this,,Not possible to locate further information. No website of the movement that was founded in 2004,Raphael,,,,,
4536,Martin CALLANAN,,United Kingdom,ECR,Conservative Party,European Parliament,MEP,"Consultant for Symphony Environmental Technologies. Symphony Environmental pays Fleishman Hillard at least 25k€ for lobbying, but is not itself on the EU Transparency Register. Life peer at the House the Lords.",Private Sector,Consultancies,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/martin-callanan,,,,"He's a consultant for which specialises in specializes in developing and marketing a wide range of plastic products and Others environmental technologies, and operates worldwide",Raphael,,,,,
4532,Michael CASHMAN,,United Kingdom,S&D,National Liberal Party,European Parliament,MEP,Member of the House of Lords ,Elected office & public sector,Elected office,no,,https://www.parliament.uk/biogRaphaelies/lords/lord-cashman/4340,PNL ,,,,Raphael,,,,,
2097,Giles CHICHESTER,,United Kingdom,ECR,Conservative Party,European Parliament,MEP,No longer lord mayor. Most likely retired. ,Others,Retired,no,,https://en.wikipedia.org/wiki/Giles_Chichester,,History: http://www.telegRaphael.co.uk/news/2080844/Giles-Chichester-resigns-as-Tory-leader-in-European-Parliament-over-expenses-scandal.html,,,Raphael ,,,,,
