Nr,Name,coutry,Political_group,Party,Institution,mandate,pre_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,Comments,party2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",
28145,Béla GLATTFELDER,Hungary,EPP,Fidesz–Hungarian Civic Union,European parliament,MEP,President of the Hungarian Solar Association,Private sector,Private sector,,,http://www.europarl.europa.eu/ep-dif/28145_06-03-2012.pdf,,,,,,,,,,,
28145,Béla GLATTFELDER,Hungary,EPP,Fidesz–Hungarian Civic Union,European parliament,MEP,President of the Platform for Renewable Energy,Private sector,Private sector,,,http://www.europarl.europa.eu/ep-dif/28145_06-03-2012.pdf,,,,,,,,,,,
28177,Bernadette VERGNAUD,France,S&D,Socialist Party,European parliament,MEP,MEP,Public Sector,Elected office,,2,http://www.europarl.europa.eu/ep-dif/rev/28177_21-03-2012_Rev2.pdf,yes,,http://confrontations.org/about-us/gouvernance?lang=en#1457537247277-c4ddd134-0fc9,https://www.linkedin.com/in/association-confrontations-europe-201b7223,,According to linkedin but not mentionned as vice-President on official website,,,TI-FR,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=01995086879-32,
28177,Bernadette VERGNAUD,France,S&D,Socialist Party,European parliament,MEP,Municipal councillor of Poitiers,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/rev/28177_21-03-2012_Rev2.pdf,,,,,,,,,,,
2229,Bernd POSSELT,Germany,EPP,Christian Social Union (Bavaria),European parliament,MEP,MEP assistant,Private sector,Self-employed,,3,http://www.europarl.europa.eu/ep-dif/2229_22-03-2012.pdf,no,,,http://www.telegRaphael.co.uk/news/worldnews/europe/germany/11795374/German-MEP-who-lost-his-seat-still-turning-up-to-parliament.html,,Note: stilll very active politically inside the EP and plans to stand for EP election in 2019,,,Raphael,,
2229,Bernd POSSELT,Germany,EPP,Christian Social Union (Bavaria),European parliament,MEP,Member of the Pan-european movement,Public Sector,Political party,,,http://www.europarl.europa.eu/ep-dif/2229_22-03-2012.pdf,,,,,,,,,,,
2229,Bernd POSSELT,Germany,EPP,Christian Social Union (Bavaria),European parliament,MEP,Freelance journalist,Private Sector,Media,,,http://www.europarl.europa.eu/ep-dif/2229_22-03-2012.pdf,,,,,,,,,,,
1906,Bernhard RAPKAY,Germany,S&D,Social Democratic Party,European parliament,MEP,MEP,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/1906_09-04-2012.pdf,Unknown,,,,,,,,TI-DE,,
1394,Bill NEWTON DUNN,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Governor of European Internet foundation,Private sector,Business association,,2,http://www.europarl.europa.eu/ep-dif/1394_26-02-2013.pdf,,,,,,,,,,,
1394,Bill NEWTON DUNN,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Employed by Fisons fertilizerss till 1979,Private sector,Business association,,,http://www.europarl.europa.eu/ep-dif/1394_26-02-2013.pdf,no,,,https://en.wikipedia.org/wiki/Bill_Newton_Dunn,LibDem,Lost elections in 2014. Retired from public life,,,Raphael,,
96827,Birgit SCHNIEBER-JASTRAM,Germany,EPP,Christian Democratic Union,European parliament,MEP,Mayor of Hamburg,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/96827_10-01-2012.pdf,no,,,,CDU,,,,TI-DE,,
96792,Bogdan Kazimierz MARCINKIEWICZ,Poland,EPP,Civic Platform,European parliament,MEP,"President of Board mananagement Board of Polish gaz company,",Private sector,Company and Group,,,http://www.europarl.europa.eu/ep-dif/96792_29-03-2012.pdf,Unknown,,,,,confirm,,,Raphael,,
28299,Boguslaw SONIK,Poland,EPP,Civic Platform,European parliament,MEP,MEP,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/rev/28299_19-03-2012_Rev2.pdf,no,,,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=357&type=W&wojewodztwo=ma%C5%82opolskie,,,,,Raphael,,
1309,Brian SIMPSON,United Kingdom,S&D,Labour Party,European parliament,MEP,President of Rail Forum Europe,Private sector,Business association,,4,http://www.europarl.europa.eu/ep-dif/1309_22-10-2012.pdf,,,,,,,,,,,
1309,Brian SIMPSON,United Kingdom,S&D,Labour Party,European parliament,MEP,Teacher City of Liverpool,Public Sector,Public sector,,,http://www.europarl.europa.eu/ep-dif/1309_22-10-2012.pdf,yes,,,https://corporateeurope.org/revolvingdoorwatch/cases/brian-simpson,,,,,Raphael,Hume Brophy is registered: http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=3843982938-44,
1309,Brian SIMPSON,United Kingdom,S&D,Labour Party,European parliament,MEP,Consultant for the North West Rail Campaign,Private sector,Consultancy,,,http://www.europarl.europa.eu/ep-dif/1309_22-10-2012.pdf,,,,,,,,,,,
1309,Brian SIMPSON,United Kingdom,S&D,Labour Party,European parliament,MEP,Vice-President of Heritage Railways Association,NGO,NGO,,,http://www.europarl.europa.eu/ep-dif/1309_22-10-2012.pdf,,,,,,,,,,,
96875,Britta REIMERS,Germany,ALDE,Free Democratic Party,European parliament,MEP,Farmer,Private sector,Self-employed,,2,http://www.europarl.europa.eu/ep-dif/96875_12-07-2012.pdf,no,,,https://www.facebook.com/pg/brittareimersmdep/about/?ref=page_internal,,,,,TI-DE,,
96875,Britta REIMERS,Germany,ALDE,Free Democratic Party,European parliament,MEP,Chairman of the FDP,Public Sector,Political party,,,http://www.europarl.europa.eu/ep-dif/96875_12-07-2012.pdf,,,,,,,,,,,
28153,Britta THOMSEN,Denmark,S&D,Social Democrats,European parliament,MEP,Self-employed consultant,Private sector,Consultancy,,2,http://www.europarl.europa.eu/ep-dif/28153_21-03-2012.pdf,no,,,https://www.linkedin.com/in/brittathomsendk,,,,,Raphael,,
