name,id,voted,votes,percent,active
"Burkhard BALZ",96997,270,285,94.74,True
"Rosa D'AMATO",124835,270,285,94.74,True
"Eleonora EVI",124779,270,285,94.74,True
"Vicky FORD",96949,270,285,94.74,True
"Charles GOERENS",840,270,285,94.74,True
"Esther HERRANZ GARCÍA",22418,270,285,94.74,True
"Janusz LEWANDOWSKI",23781,270,285,94.74,True
"Javi LÓPEZ",125042,270,285,94.74,True
"Kazimierz Michał UJAZDOWSKI",23791,270,285,94.74,True
"Flavio ZANONATO",124800,270,285,94.74,True
"Branislav ŠKRIPEK",124927,270,285,94.74,True
"Frank ENGEL",96876,269,285,94.39,True
"Fredrick FEDERLEY",124989,269,285,94.39,True
"Teresa JIMÉNEZ-BECERRIL BARRIO",96806,269,285,94.39,True
"Eva JOLY",96883,269,285,94.39,True
"Dieter-Lebrecht KOCH",1852,269,285,94.39,True
"Ádám KÓSA",96829,269,285,94.39,True
"Marian-Jean MARINESCU",33982,269,285,94.39,True
"Elisabeth MORIN-CHARTIER",38596,269,285,94.39,True
"Dimitrios PAPADIMOULIS",28586,269,285,94.39,True
"Markus PIEPER",28224,269,285,94.39,True
"Sirpa PIETIKÄINEN",40599,269,285,94.39,True
"Petri SARVAMAA",112611,269,285,94.39,True
"Jean-Luc SCHAFFHAUSER",124755,269,285,94.39,True
"Mylène TROSZCZYNSKI",124758,269,285,94.39,True
"Marita ULVSKOG",96672,269,285,94.39,True
"Glenis WILLMOTT",35743,269,285,94.39,True
"Salvatore CICU",124854,268,285,94.04,True
"Sylvie GODDYN",21331,268,285,94.04,True
"Rina Ronja KARI",122885,268,285,94.04,True
"Kateřina KONEČNÁ",23699,268,285,94.04,True
"Gabrielius LANDSBERGIS",124759,268,285,94.04,True
"Anne-Marie MINEUR",125037,268,285,94.04,True
"Luděk NIEDERMAYER",124701,268,285,94.04,True
"Joachim SCHUSTER",124837,268,285,94.04,True
"Emilian PAVEL",129256,136,145,93.79,True
"Louis ALIOT",30190,267,285,93.68,True
"Ivo BELET",28257,267,285,93.68,True
"Bruno GOLLNISCH",1164,267,285,93.68,True
"Agnes JONGERIUS",125021,267,285,93.68,True
"Petra KAMMEREVERT",96837,267,285,93.68,True
"Manolis KEFALOGIANNIS",125068,267,285,93.68,True
"Marine LE PEN",28210,267,285,93.68,True
"Artis PABRIKS",124743,267,285,93.68,True
"Boris ZALA",96656,267,285,93.68,True
"Gabriele ZIMMER",28248,267,285,93.68,True
"Daniel BUDA",125012,266,285,93.33,True
"Rachida DATI",72775,266,285,93.33,True
"Julie GIRLING",96956,266,285,93.33,True
"Verónica LOPE FONTAGNÉ",96765,266,285,93.33,True
"Vincent PEILLON",28166,266,285,93.33,True
"Dario TAMBURRANO",124813,266,285,93.33,True
"Pilar AYUSO",4319,265,285,92.98,True
"Roberto GUALTIERI",96892,265,285,92.98,True
"Monika HOHLMEIER",96780,265,285,92.98,True
"Sandra KALNIETE",96934,265,285,92.98,True
"Laurențiu REBEGA",124792,265,285,92.98,True
"Kathleen VAN BREMPT",5729,265,285,92.98,True
"Damian DRĂGHICI",124786,264,285,92.63,True
"Doru-Claudian FRUNZULICĂ",124790,264,285,92.63,True
"Janusz KORWIN-MIKKE",124879,264,285,92.63,True
"Patrick LE HYARIC",96735,264,285,92.63,True
"Gabriel MATO",96936,264,285,92.63,True
"Momchil NEKOV",125013,264,285,92.63,True
"Yana TOOM",124700,264,285,92.63,True
"Gerolf ANNEMANS",124973,263,285,92.28,True
"Jean ARTHUIS",124773,263,285,92.28,True
"Cornelia ERNST",96852,263,285,92.28,True
"György HÖLVÉNYI",124715,263,285,92.28,True
"Andrey KOVATCHEV",97968,263,285,92.28,True
"Virginie ROZIÈRE",103845,263,285,92.28,True
"Roberts ZĪLE",28615,263,285,92.28,True
"Dawid Bohdan JACKIEWICZ",124882,262,285,91.93,True
"Petr MACH",84175,262,285,91.93,True
"Cora van NIEUWENHUIZEN",125019,262,285,91.93,True
"Michael CRAMER",28238,261,285,91.58,True
"Roger HELMER",4516,261,285,91.58,True
"Louis-Joseph MANSCOUR",124725,261,285,91.58,True
"Indrek TARAND",97136,261,285,91.58,True
"Tomáš ZDECHOVSKÝ",124713,261,285,91.58,True
"Simona BONAFÈ",124814,260,285,91.23,True
"Ignazio CORRAO",124856,260,285,91.23,True
"Michael GAHLER",2341,260,285,91.23,True
"Gerben-Jan GERBRANDY",96940,260,285,91.23,True
"Sylvie GOULARD",97137,260,285,91.23,True
"Iliana IOTOVA",38605,260,285,91.23,True
"Maria SPYRAKI",125064,260,285,91.23,True
"Brice HORTEFEUX",5565,259,285,90.88,True
"Fabio DE MASI",124858,258,285,90.53,True
"Anneliese DODDS",124969,258,285,90.53,True
"Patricija ŠULIN",125103,258,285,90.53,True
"Jussi HALLA-AHO",124727,257,285,90.18,True
"Jens NILSSON",111024,257,285,90.18,True
"Bendt BENDTSEN",96705,256,285,89.82,True
"Silvia COSTA",96917,256,285,89.82,True
"Andrzej GRZYB",23785,256,285,89.82,True
"Enrique GUERRERO SALOM",96768,256,285,89.82,True
"Alexander Graf LAMBSDORFF",28242,256,285,89.82,True
